Sample	Accession	bases_covered_1x	bases_covered_10x	Per_cov_1x	Per_cov_10x	Reads_mapped	Library_Size	Num_MM_reads	percent_MM	unique_reads	percent_mapped	Genome_Length	mean_depth_mapped	max_depth	median_depth	TPM	EffectiveLength	Salmon_TPM	Salmon_read_number	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AF043303.1	2606	180	55.7	3.85	114	1579409	0	0	114	0.00721788972963938	4679	4.233	14	3	1341.17355161285	5315.672	798.244729	31.821	4679	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AF108105.1	12791	1159	36.44	3.3	1033	1579409	715	69.215876089061	318	0.0654042113220831	35100	4.12	30	2	1620.04239330745	35796.061	769.384749	206.537	35100	Human adenovirus type 17 complete genome	46922	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 17	Human adenovirus 17
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AM749299.1	30899	10253	91.52	30.37	2699	1579409	9	0.333456835865135	2690	0.170886705090322	33763	8.387	48	7	4400.42912087993	48600.422	3719.389536	1355.601	33763	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AY720891.1	1393	335	20.72	4.98	93	1579409	7	7.52688172043011	86	0.00588827846365318	6723	5.858	26	2	761.470374628702	9902.536	228.650525	16.98	6723	Human astrovirus type 4 strain Dresden, complete genome	35300	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	Human astrovirus 4
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090846.1	956	774	95.41	77.25	1156	1579409	94	8.13148788927336	1062	0.0731919344514309	1002	108.905	433	29.5	63507.2470102252	1321.787	51839.255694	513.855	1002	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090847.1	1311	1026	94.66	74.08	838	1579409	0	0	838	0.0530578209950684	1385	62.439	204	50	33306.3789867699	1917.787	30170.411267	433.912	1385	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) neuraminidase (NA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090848.1	1504	1252	97.66	81.3	1821	1579409	9	0.494233937397035	1812	0.115296291207661	1540	115.441	603	85	65091.21814993	2264.437	52840.086703	897.313	1540	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nucleocapsid protein (NP) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090849.1	703	408	81.27	47.17	260	1579409	52	20	208	0.016461853769353	865	29.902	101	19	16545.9007451486	1088.041	8823.425984	71.995	865	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090850.1	2208	2120	100	96.01	1950	1579409	49	2.51282051282051	1901	0.123463903270147	2208	84.549	430	51	48614.8238605758	3365.474	36236.905624	914.571	2208	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PA (PA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY090851.1	1931	1735	83.38	74.91	1318	1579409	4	0.303490136570561	1314	0.0834489356461816	2316	66.217	171	62	31326.3668502085	3414.322	25627.43906	656.19	2316	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	CY093092.1	406	369	45.62	41.46	156	1579409	19	12.1794871794872	137	0.00987711226161178	890	33.227	57	35	9648.6769513844	1133.857	10221.766943	86.917	890	Influenza A virus (A/quail/Lebanon/272/2010(H9N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	1051647	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	DQ125333.1	2150	0	28.91	0	46	1579409	0	0	46	0.00291248182073168	7437	2.035	7	2	340.48126863058	8738.451	45.857691	3.005	7437	Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes	343513	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Angelholm/SW278/2004/SE	Sapovirus Hu/Angelholm/SW278/2004/SE
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	EU116038.1	2157	2138	92.14	91.33	3477	1579409	0	0	3477	0.220145636754001	2341	156.304	880	117	81759.1657257132	3514.629	66665.318473	1757.112	2341	Influenza A virus (A/Swine/Shandong/3/2005/H3N2) polymerase basic protein 2 (PB2) gene, complete cds	463697	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Shandong/3/2005(H3N2))	Influenza A virus (A/swine/Shandong/3/2005(H3N2))
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	FJ222451.1	4230	1071	68.55	17.36	299	1579409	0	0	299	0.0189311318347559	6171	6.828	25	6	2667.15844534704	8678.358	1644.462136	107.024	6171	Astrovirus MLB1, complete genome	568715	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Astrovirus MLB1	unclassified Astrovirus MLB1 subspecies/strain	unclassified Astrovirus MLB1 strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	FJ349096.1	6303	0	17.63	0	333	1579409	294	88.2882882882883	39	0.0210838357892098	35758	2.105	7	2	512.630200034454	38391.453	212.012735	61.04	35758	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	10534	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 6	Human adenovirus 6
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	FJ973560.1	3858	1826	77.81	36.83	499	1579409	45	9.01803607214429	454	0.0315940962727197	4958	11.491	57	9	5540.22238195629	6682.344	5426.625291	271.944	4958	Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome	1511881	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2b NI	Human bocavirus 2b NI
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	FJ973620.1	2260	0	34.32	0	67	1579409	0	0	67	0.00424209308671788	6586	2.872	9	2	559.997709409871	9067.591	419.974884	28.558	6586	Astrovirus VA1, complete genome	645687	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 9	Astrovirus VA1	Astrovirus VA1
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	GQ179640.3	2298	8	28.79	0.1	80	1579409	0	0	80	0.00506518577518553	7982	3.392	11	2	551.710739338648	7866.743	332.002953	19.587	7982	Salivirus NG-J1, complete genome	651733	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Salivirus	Salivirus A	Salivirus NG-J1	Salivirus NG-J1
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	GQ415660.1	3091	478	47.31	7.32	225	1579409	0	0	225	0.0142458349927093	6534	6.925	78	4	1895.55575129179	9526.05	1957.695314	139.855	6534	Mamastrovirus 8 isolate NI-295, complete genome	1239572	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 8	unclassified Mamastrovirus 8 subspecies/strain	unclassified Mamastrovirus 8 strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	GU345042.1	1341	121	19.25	1.74	52	1579409	0	0	52	0.00329237075387059	6965	3.755	12	2	410.974993382729	6674.389	199.78757	10	6965	Hepatitis E virus rat/R63/DEU/2009, complete genome	879096	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Rocahepevirus	Rocahepevirus ratti	Hepatitis E virus rat/R63/DEU/2009	Hepatitis E virus rat/R63/DEU/2009
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	GU991355.1	4266	695	56.55	9.21	234	1579409	0	0	234	0.0148156683924177	7544	5.365	27	3	1707.44747217632	10029.676	1223.153257	92	7544	Norovirus Hu/Shanghai/SH312/2009/CHN, complete genome	756497	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Shanghai/SH312/2009/CHN	Norovirus Hu/Shanghai/SH312/2009/CHN
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	HM011556.1	4544	667	84.35	12.38	252	1579409	0	0	252	0.0159553351918344	5387	5.35	22	4	2575.05636391562	6144.62	3434.465282	158.261	5387	Merkel cell polyomavirus isolate R17b, complete genome	493803	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus quintihominis	Merkel cell polyomavirus	Merkel cell polyomavirus
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	HQ625441.1	1449	32	18.76	0.41	42	1579409	0	0	42	0.0026592225319724	7724	2.86	10	2	299.323075962658	10138.895	216.250178	16.442	7724	Rattus norvegicus papillomavirus 2, complete genome	1036965	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 1	Rattus norvegicus papillomavirus 2	Rattus norvegicus papillomavirus 2
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	J02226.1	4821	3191	93.98	62.2	846	1579409	0	0	846	0.053564339572587	5130	16.898	97	14	9077.91625902855	6639.236	8652.63112	430.811	5130	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	JF742759.1	3518	570	57.49	9.32	210	1579409	0	0	210	0.013296112659862	6119	5.692	29	4	1889.17424312434	8296.377	1672.140097	104.035	6119	Astrovirus MLB2 isolate MLB2/human/Stl/WD0559/2008, complete genome	683172	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	unclassified Astroviridae genus	Astrovirus MLB2	unclassified Astrovirus MLB2 subspecies/strain	unclassified Astrovirus MLB2 strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	JQ326209.1	17747	1889	50.49	5.37	1450	1579409	813	56.0689655172414	637	0.0918064921752377	35153	4.804	49	3	2270.5903216054	35536.566	1914.433201	510.194	35153	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	JQ388274.1	2322	217	30.19	2.82	99	1579409	0	0	99	0.00626816739679209	7691	4.165	20	3	708.574562831081	10273.482	486.092998	37.45	7691	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU, complete genome	1173217	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KF039910.1	2023	535	29.79	7.88	156	1579409	14	8.97435897435897	142	0.00987711226161178	6792	7.048	39	3	1264.32898803476	10247.804	980.342704	75.341	6792	Human astrovirus 2 isolate Rus-Nsc05-430, complete genome	12701	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 2	Human astrovirus 2
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KF294380.2	1427	0	4.96	0	29	1579409	0	0	29	0.00183612984350475	28763	2.008	6	2	55.5005121686852	38759.839	62.337	18.12	28763	Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome	1508224	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Lucheng Rn rat coronavirus	unclassified Lucheng Rn rat coronavirus subspecies/strain	unclassified Lucheng Rn rat coronavirus strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KF306212.1	1404	22	18.14	0.28	30	1579409	0	0	30	0.00189944466569457	7740	2.155	10	2	213.360228750053	10481.046	194.942037	15.323	7740	Norovirus Hu/GI.2/Jingzhou/2013401/CHN, complete genome	1406147	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GI.2/Jingzhou/2013401/CHN	Norovirus Hu/GI.2/Jingzhou/2013401/CHN
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KF374704.1	1648	94	24.31	1.39	61	1579409	0	0	61	0.00386220415357896	6780	3.476	15	2	495.260070806538	9392.916	241.339515	17	6780	Feline astrovirus Viseu, complete genome	1413815	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Feline astrovirus 2	Feline astrovirus Viseu	Feline astrovirus Viseu
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KJ196295.1	1995	47	26.45	0.62	57	1579409	0	0	57	0.00360894486481969	7543	2.779	11	2	415.971831366601	10306.077	277.69333	21.462	7543	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi, complete genome	1529923	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KJ417134.1	2632	514	88.32	17.25	169	1579409	0	0	169	0.0107002049500794	2980	6.023	24	4	3121.78949461738	4274.012	3213.721734	103.006	2980	Porcine stool-associated circular virus 4 isolate CP2, complete genome	1475062	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Porcine stool-associated circular virus 4	unclassified Porcine stool-associated circular virus 4 subspecies/strain	unclassified Porcine stool-associated circular virus 4 strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KM023140.1	4601	0	57.53	0	144	1579409	1	0.694444444444444	143	0.00911733439533395	7998	3.054	9	3	991.092675484115	7749.888	1238.573825	71.984	7998	Salivirus FHB, complete genome	1547495	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Salivirus	Salivirus FHB	unclassified Salivirus FHB subspecies/strain	unclassified Salivirus FHB strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KP298674.1	4219	371	56.79	4.99	211	1579409	31	14.6919431279621	180	0.0133594274820518	7429	4.181	35	2	1563.45458779046	10082.659	916.086242	69.268	7429	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR, complete genome	1652048	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KT327081.1	6909	3654	92.85	49.11	1173	1579409	25	2.13128729752771	1148	0.0742682864286578	7441	16.248	118	10	8677.60508903957	10273.077	7799.570225	600.885	7441	Sapovirus Hu/G1/Zhejiang1/China/2014, complete genome	1807764	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/G1/Zhejiang1/China/2014	Sapovirus Hu/G1/Zhejiang1/China/2014
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KU727766.1	5027	3980	97.31	77.04	1019	1579409	0	0	1019	0.0645178038114257	5166	19.736	81	19	10858.0779827422	6894.686	10167.203736	525.698	5166	Parus major densovirus isolate PmDNV-JL, complete genome	1907771	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parus major densovirus	unclassified Parus major densovirus subspecies/strain	unclassified Parus major densovirus strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KX384958.1	5884	0	16.69	0	160	1579409	0	0	160	0.0101303715503711	35250	2.599	8	2	249.858446604317	41819.282	229.702259	72.038	35250	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KX783423.1	1916	84	21.44	0.94	65	1579409	7	10.7692307692308	58	0.00411546344233824	8938	3.037	13	2	400.318979205458	11545.82	109.788368	9.506	8938	Rosavirus B strain RNCW0602091R polyprotein gene, complete cds	1902501	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Rosavirus	Rosavirus B	unclassified Rosavirus B subspecies/strain	unclassified Rosavirus B strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KX868289.2	2319	96	6.89	0.29	71	1579409	9	12.6760563380282	62	0.00449535237547716	33676	2.637	16	2	116.056915020889	47989.346	89.855279	32.338	33676	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KY040275.1	12288	359	6.53	0.19	591	1579409	308	52.1150592216582	283	0.0374190599141831	188253	2.924	18	2	172.813931036162	159562.473	159.427491	190.772	188253	Molluscum contagiosum virus subtype 1 isolate Madrid 2016_3, complete genome	10280	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	Molluscum contagiosum virus subtype 1	Molluscum contagiosum virus subtype 1
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KY316160.1	33676	31954	98.56	93.52	18816	1579409	787	4.18261054421769	18029	1.19133169432364	34169	52.619	353	40	30312.9504683642	42564.622	28802.468727	9193.874	34169	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	KY934262.1	3428	116	44.07	1.49	108	1579409	0	0	108	0.00683800079650046	7778	3.05	15	2	764.344229093786	10786.064	275.276374	22.267	7778	Norovirus GI isolate 0304-19, complete genome	122928	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI	Norovirus GI
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	L19443.1	23881	4988	69.8	14.58	2111	1579409	550	26.0540028422549	1561	0.133657589642708	34214	6.917	62	5	3396.39002355677	42072.541	2531.240248	798.642	34214	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	LN827554.1	9031	0	5.45	0	317	1579409	273	86.1198738170347	44	0.0200707986341727	165750	1.987	8	2	105.278308709211	179435.17	28.050985	37.746	165750	Human herpesvirus 4 genome assembly AFB1b, segment : I	10376	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Lymphocryptovirus	Human gammaherpesvirus 4	unclassified Human gammaherpesvirus 4 subspecies/strain	unclassified Human gammaherpesvirus 4 strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	LN854568.1	4115	1212	54.5	16.05	339	1579409	1	0.294985250737463	338	0.0214637247223487	7550	7.982	45	4	2471.64401681286	10297.911	1887.171898	145.741	7550	Norovirus GII/Hu/NL/2014/GII.6/Groningen, complete genome	1665649	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/NL/2014/GII.6/Groningen	Norovirus GII/Hu/NL/2014/GII.6/Groningen
