Sample	Accession	bases_covered_1x	bases_covered_10x	Per_cov_1x	Per_cov_10x	Reads_mapped	Library_Size	Num_MM_reads	percent_MM	unique_reads	percent_mapped	Genome_Length	mean_depth_mapped	max_depth	median_depth	TPM	EffectiveLength	Salmon_TPM	Salmon_read_number	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Sampleshort	Experiment	Replicate	Replicate2	WWTP	Method
13	MEM1_HybCap	CY090848.1	1432	1235	92.99	80.19	1146	996786	4	0.35	1142	0.114969512011605	1540	76.176	396	53	65275.239746799	3772.105	31945.962569	262	1540	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nucleocapsid protein (NP) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
14	MEM1_HybCap	CY090849.1	698	392	80.69	45.32	173	996786	30	17.34	143	0.0173557814816821	865	20.567	67	14	17543.4326719146	1761.993	5640.279021	21.608	865	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
15	MEM1_HybCap	CY090850.1	2208	2073	100	93.89	1251	996786	34	2.72	1217	0.125503367824187	2208	54.442	269	36	49698.4471751927	5402.376	24208.711523	284.353	2208	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PA (PA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
16	MEM1_HybCap	CY090851.1	1931	1716	83.38	74.09	831	996786	4	0.48	827	0.0833679445738604	2316	41.758	100	40	31473.6454023338	5497.887	18320.89964	219	2316	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
17	MEM1_HybCap	CY093092.1	406	359	45.62	40.34	96	996786	9	9.38	87	0.00963095388578893	890	21.222	39	21	9461.6266095719	1829.464	11142.186459	44.32	890	Influenza A virus (A/quail/Lebanon/272/2010(H9N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	1051647	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
18	MEM1_HybCap	EU116038.1	2157	2136	92.14	91.24	2138	996786	0	0	2138	0.214489368831424	2341	96.034	563	70	80110.7626069059	5734.969	47317.24146	590	2341	Influenza A virus (A/Swine/Shandong/3/2005/H3N2) polymerase basic protein 2 (PB2) gene, complete cds	463697	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Shandong/3/2005(H3N2))	Influenza A virus (A/swine/Shandong/3/2005(H3N2))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
19	MEM1_HybCap	FJ222451.1	3891	245	63.05	3.97	177	996786	0	0	177	0.0177570712269233	6171	4.389	17	4	2515.95169577773	14076.384	784.185132	24	6171	Astrovirus MLB1, complete genome	568715	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Astrovirus MLB1	unclassified Astrovirus MLB1 subspecies/strain	unclassified Astrovirus MLB1 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
20	MEM1_HybCap	FJ349096.1	4500	0	12.58	0	223	996786	197	88.34	26	0.0223719032971972	35758	1.883	6	2	547.036395469118	75644.804	151.090049	24.849	35758	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	10534	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 6	Human adenovirus 6	MEM1	WWDv_002	R1	R1	WWTP I	MEM
21	MEM1_HybCap	FJ973560.1	3674	1090	74.1	21.98	313	996786	25	7.99	288	0.0314009225651243	4958	7.724	35	6	5537.61035327678	10830.832	3970.130336	93.491	4958	Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome	1511881	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2b NI	Human bocavirus 2b NI	MEM1	WWDv_002	R1	R1	WWTP I	MEM
22	MEM1_HybCap	FJ973620.1	1945	0	29.53	0	48	996786	0	0	48	0.00481547694289446	6586	2.432	9	2	639.299095241345	15131.295	273.567731	9	6586	Astrovirus VA1, complete genome	645687	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 9	Astrovirus VA1	Astrovirus VA1	MEM1	WWDv_002	R1	R1	WWTP I	MEM
23	MEM1_HybCap	GQ415660.1	2702	290	41.35	4.44	150	996786	0	0	150	0.0150483654465452	6534	5.302	54	3	2013.70898437954	16305.215	1551.438663	55	6534	Mamastrovirus 8 isolate NI-295, complete genome	1239572	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 8	unclassified Mamastrovirus 8 subspecies/strain	unclassified Mamastrovirus 8 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
24	MEM1_HybCap	GU345042.1	1159	57	16.64	0.82	36	996786	0	0	36	0.00361160770717085	6965	2.999	10	2	453.383758929594	14006.179	98.514473	3	6965	Hepatitis E virus rat/R63/DEU/2009, complete genome	879096	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Rocahepevirus	Rocahepevirus ratti	Hepatitis E virus rat/R63/DEU/2009	Hepatitis E virus rat/R63/DEU/2009	MEM1	WWDv_002	R1	R1	WWTP I	MEM
25	MEM1_HybCap	GU991355.1	3538	509	46.9	6.75	167	996786	0	0	167	0.0167538468638203	7544	4.598	18	3	1941.77707861196	18971.146	581.856813	24	7544	Norovirus Hu/Shanghai/SH312/2009/CHN, complete genome	756497	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Shanghai/SH312/2009/CHN	Norovirus Hu/Shanghai/SH312/2009/CHN	MEM1	WWDv_002	R1	R1	WWTP I	MEM
26	MEM1_HybCap	HM011556.1	3711	235	68.89	4.36	155	996786	0	0	155	0.0155499776280967	5387	4.051	12	3	2523.88348259398	10023.764	2837.516569	61.84	5387	Merkel cell polyomavirus isolate R17b, complete genome	493803	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus quintihominis	Merkel cell polyomavirus	Merkel cell polyomavirus	MEM1	WWDv_002	R1	R1	WWTP I	MEM
27	MEM1_HybCap	HQ625441.1	851	0	11.02	0	20	996786	0	0	20	0.00200644872620603	7724	2.313	4	2	227.128853856998	18768.239	99.199554	4.048	7724	Rattus norvegicus papillomavirus 2, complete genome	1036965	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 1	Rattus norvegicus papillomavirus 2	Rattus norvegicus papillomavirus 2	MEM1	WWDv_002	R1	R1	WWTP I	MEM
28	MEM1_HybCap	J02226.1	4723	1810	92.07	35.28	523	996786	0	0	523	0.0524686341902876	5130	10.665	68	8	8942.70495849056	10801.854	6902.635694	162.112	5130	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	MEM1	WWDv_002	R1	R1	WWTP I	MEM
29	MEM1_HybCap	JF742759.1	3461	221	56.56	3.61	152	996786	0	0	152	0.0152490103191658	6119	4.203	13	4	2178.95225210902	13348.798	1293.813348	37.55	6119	Astrovirus MLB2 isolate MLB2/human/Stl/WD0559/2008, complete genome	683172	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	unclassified Astroviridae genus	Astrovirus MLB2	unclassified Astrovirus MLB2 subspecies/strain	unclassified Astrovirus MLB2 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
30	MEM1_HybCap	JQ326209.1	14950	910	42.53	2.59	934	996786	502	53.75	432	0.0937011555138214	35153	3.783	34	3	2330.60707700171	67665.366	1219.396996	179.396	35153	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	MEM1	WWDv_002	R1	R1	WWTP I	MEM
31	MEM1_HybCap	JQ388274.1	1960	140	25.48	1.82	62	996786	0	0	62	0.00621999105123868	7691	3.143	14	2	707.120547171176	19305.089	375.119749	15.745	7691	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU, complete genome	1173217	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU	MEM1	WWDv_002	R1	R1	WWTP I	MEM
32	MEM1_HybCap	KF039910.1	1769	315	26.05	4.64	118	996786	12	10.17	106	0.0118380474846156	6792	5.942	26	5	1523.94365082886	17449.68	894.364465	33.932	6792	Human astrovirus 2 isolate Rus-Nsc05-430, complete genome	12701	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 2	Human astrovirus 2	MEM1	WWDv_002	R1	R1	WWTP I	MEM
33	MEM1_HybCap	KJ196295.1	1741	0	23.08	0	40	996786	0	0	40	0.00401289745241205	7543	2.223	7	2	465.15796558172	19325.365	24.180856	1.016	7543	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi, complete genome	1529923	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi	MEM1	WWDv_002	R1	R1	WWTP I	MEM
34	MEM1_HybCap	KJ417134.1	2475	300	83.05	10.07	116	996786	0	0	116	0.011637402611995	2980	4.389	18	3	3414.49360728538	7425.719	1485.529489	23.984	2980	Porcine stool-associated circular virus 4 isolate CP2, complete genome	1475062	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Porcine stool-associated circular virus 4	unclassified Porcine stool-associated circular virus 4 subspecies/strain	unclassified Porcine stool-associated circular virus 4 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
35	MEM1_HybCap	KM023140.1	3670	0	45.89	0	87	996786	0	0	87	0.00872805195899621	7998	2.334	7	2	954.162692208406	16325.246	450.773831	16	7998	Salivirus FHB, complete genome	1547495	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Salivirus	Salivirus FHB	unclassified Salivirus FHB subspecies/strain	unclassified Salivirus FHB strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
36	MEM1_HybCap	KP298674.1	2726	86	36.69	1.16	112	996786	36	32.14	76	0.0112361128667537	7429	2.773	23	2	1322.42863053872	18676.524	439.345272	17.84	7429	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR, complete genome	1652048	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR	MEM1	WWDv_002	R1	R1	WWTP I	MEM
37	MEM1_HybCap	KT327081.1	6681	2420	89.79	32.52	728	996786	18	2.47	710	0.0730347336338994	7441	10.383	66	7	8581.9237905885	19041.394	4339.641457	179.661	7441	Sapovirus Hu/G1/Zhejiang1/China/2014, complete genome	1807764	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/G1/Zhejiang1/China/2014	Sapovirus Hu/G1/Zhejiang1/China/2014	MEM1	WWDv_002	R1	R1	WWTP I	MEM
38	MEM1_HybCap	KU727766.1	4925	2998	95.33	58.03	625	996786	0	0	625	0.0627015226939383	5166	12.319	46	12	10612.3165117563	11270	7167.300633	175.623	5166	Parus major densovirus isolate PmDNV-JL, complete genome	1907771	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parus major densovirus	unclassified Parus major densovirus subspecies/strain	unclassified Parus major densovirus strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
39	MEM1_HybCap	KX384958.1	4050	0	11.49	0	94	996786	0	0	94	0.00943030901316832	35250	2.163	8	2	233.912435625527	79432.328	155.880377	26.921	35250	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3	MEM1	WWDv_002	R1	R1	WWTP I	MEM
40	MEM1_HybCap	KX783423.1	1223	0	13.68	0	39	996786	6	15.38	33	0.00391257501610175	8938	2.714	9	2	382.744391477214	22045.798	20.862802	1	8938	Rosavirus B strain RNCW0602091R polyprotein gene, complete cds	1902501	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Rosavirus	Rosavirus B	unclassified Rosavirus B subspecies/strain	unclassified Rosavirus B strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
41	MEM1_HybCap	KX868289.2	1511	0	4.49	0	47	996786	8	17.02	39	0.00471515450658416	33676	2.567	9	2	122.422695032068	86420.339	69.663817	13.09	33676	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	MEM1	WWDv_002	R1	R1	WWTP I	MEM
42	MEM1_HybCap	KY040275.1	9955	209	5.29	0.11	373	996786	193	51.74	180	0.0374202687437424	188253	2.322	13	2	173.800693391981	299010.826	139.338578	90.586	188253	Molluscum contagiosum virus subtype 1 isolate Madrid 2016_3, complete genome	10280	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	Molluscum contagiosum virus subtype 1	Molluscum contagiosum virus subtype 1	MEM1	WWDv_002	R1	R1	WWTP I	MEM
43	MEM1_HybCap	KY316160.1	33529	29976	98.13	87.73	11832	996786	490	4.14	11342	1.18701506642349	34169	33.226	245	25	30374.5932532549	80968.181	17923.008275	3155.2	34169	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	MEM1	WWDv_002	R1	R1	WWTP I	MEM
44	MEM1_HybCap	KY934262.1	2581	0	33.18	0	54	996786	0	0	54	0.00541741156075627	7778	2	9	1	608.990334458335	20229.586	90.943457	4	7778	Norovirus GI isolate 0304-19, complete genome	122928	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI	Norovirus GI	MEM1	WWDv_002	R1	R1	WWTP I	MEM
45	MEM1_HybCap	L19443.1	22017	2276	64.35	6.65	1381	996786	354	25.63	1027	0.138545284544526	34214	4.917	39	3	3540.57995556118	80607.122	1619.340102	283.8	34214	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
46	MEM1_HybCap	LN854568.1	3501	827	46.37	10.95	213	996786	1	0.47	212	0.0213686789340942	7550	5.886	24	4	2474.66964179987	19424.099	852.432627	36	7550	Norovirus GII/Hu/NL/2014/GII.6/Groningen, complete genome	1665649	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/NL/2014/GII.6/Groningen	Norovirus GII/Hu/NL/2014/GII.6/Groningen	MEM1	WWDv_002	R1	R1	WWTP I	MEM
47	MEM1_HybCap	LT594108.1	1696	0	1.12	0	49	996786	8	16.33	41	0.00491579937920476	151216	2.472	6	2	28.4238506812709	333185.211	12.443173	9.014	151216	Human herpesvirus 1 isolate 1319_2005 genome assembly, complete genome: monopartite	10298	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Human alphaherpesvirus 1	unclassified Human alphaherpesvirus 1 subspecies/strain	unclassified Human alphaherpesvirus 1 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
48	MEM1_HybCap	M19296.1	2355	233	44.24	4.38	93	996786	0	0	93	0.00932998657685802	5323	3.87	22	2	1532.53732715391	6810.668	2650.550935	39.249	5323	Canine parvovirus strain CPV-N, complete cds	10788	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Carnivore protoparvovirus 1	Canine parvovirus	Canine parvovirus	MEM1	WWDv_002	R1	R1	WWTP I	MEM
49	MEM1_HybCap	MF118167.1	1145	520	29.17	13.25	183	996786	0	0	183	0.0183590058447851	3925	15.25	86	9	4089.74290313422	2548.121	7430.990102	41.169	3925	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
50	MEM1_HybCap	MF944258.1	1274	0	17.02	0	30	996786	0	0	30	0.00300967308930904	7484	2.253	5	2	351.6187734884	18377.753	100.107364	4	7484	Sapovirus sp. strain 20151018, complete genome	1906670	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapovirus sp.	unclassified Sapovirus sp. subspecies/strain	unclassified Sapovirus sp. strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
51	MEM1_HybCap	MF947441.1	7925	4945	96.13	59.98	1247	996786	23	1.84	1224	0.125102078078946	8244	14.971	74	12	13268.2317696976	15980.26	8978.322551	311.947	8244	Kobuvirus sp. strain 16317x87 polyprotein gene, complete cds	2094719	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Kobuvirus sp.	unclassified Kobuvirus sp. subspecies/strain	unclassified Kobuvirus sp. strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
52	MEM1_HybCap	MN116648.1	1120	0	12.83	0	27	996786	2	7.41	25	0.00270870578037814	8731	2.197	6	2	271.259123892849	22120.151	41.58535	2	8731	Rosavirus B strain rat08/rRoB/HUN, complete genome	1902501	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Rosavirus	Rosavirus B	unclassified Rosavirus B subspecies/strain	unclassified Rosavirus B strain	MEM1	WWDv_002	R1	R1	WWTP I	MEM
53	MEM1_HybCap	NC_001526.4	1513	830	19.14	10.5	286	996786	0	0	286	0.0286922167847462	7906	18.193	68	12	3173.17337728786	11028.316	3128.459763	75.014	7906	Human papillomavirus type 16, complete genome	333760	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 9	Human papillomavirus type 16	Human papillomavirus type 16	MEM1	WWDv_002	R1	R1	WWTP I	MEM
54	MEM1_HybCap	NC_002017.1	1755	1164	98.71	65.47	432	996786	0	0	432	0.0433392924860502	1778	23.513	98	14	21312.6066205486	3733	16632.331858	134.993	1778	Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 4, complete sequence	211044	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
